Vic_date,dateStore
2019-02-19 15:34:17.439325,2019-02-19 15:34:17.686565
2019-02-19 15:34:18.168385,2019-02-19 15:34:18.410075
2019-02-19 15:34:18.885475,2019-02-19 15:34:19.134064
2019-02-19 15:34:19.613950,2019-02-19 15:34:19.857778
2019-02-19 15:34:20.337186,2019-02-19 15:34:20.583518
2019-02-19 15:34:21.064436,2019-02-19 15:34:21.316748
2019-02-19 15:34:21.796670,2019-02-19 15:34:22.045554
2019-02-19 15:34:22.523238,2019-02-19 15:34:22.772744
2019-02-19 15:34:23.251044,2019-02-19 15:34:23.492701
2019-02-19 15:34:23.971037,2019-02-19 15:34:24.214373
2019-02-19 15:34:24.689761,2019-02-19 15:34:24.929381
2019-02-19 15:34:25.408486,2019-02-19 15:34:25.650230
2019-02-19 15:34:26.126457,2019-02-19 15:34:26.373715
2019-02-19 15:34:26.851422,2019-02-19 15:34:27.094176
2019-02-19 15:34:27.568797,2019-02-19 15:34:27.814267
2019-02-19 15:34:28.310150,2019-02-19 15:34:28.563868
2019-02-19 15:34:29.048137,2019-02-19 15:34:29.289058
2019-02-19 15:34:29.767428,2019-02-19 15:34:30.010147
2019-02-19 15:34:30.484227,2019-02-19 15:34:30.728295
2019-02-19 15:34:31.206762,2019-02-19 15:34:31.452460
2019-02-19 15:34:31.935317,2019-02-19 15:34:32.182209
2019-02-19 15:34:32.653616,2019-02-19 15:34:32.902625
2019-02-19 15:34:33.378669,2019-02-19 15:34:33.619285
2019-02-19 15:34:34.092159,2019-02-19 15:34:34.332093
2019-02-19 15:34:34.805781,2019-02-19 15:34:35.049384
2019-02-19 15:34:35.526435,2019-02-19 15:34:35.775633
2019-02-19 15:34:36.254627,2019-02-19 15:34:36.497086
2019-02-19 15:34:36.979935,2019-02-19 15:34:37.221858
2019-02-19 15:34:37.697258,2019-02-19 15:34:37.940158
2019-02-19 15:34:38.418283,2019-02-19 15:34:38.664173
2019-02-19 15:35:17.436091,2019-02-19 15:35:17.684293
2019-02-19 15:35:18.159028,2019-02-19 15:35:18.405867
2019-02-19 15:35:18.876721,2019-02-19 15:35:19.122420
2019-02-19 15:35:19.600372,2019-02-19 15:35:19.842311
2019-02-19 15:35:20.317822,2019-02-19 15:35:20.561360
2019-02-19 15:35:21.043474,2019-02-19 15:35:21.286859
2019-02-19 15:35:21.763300,2019-02-19 15:35:22.009674
2019-02-19 15:35:22.483658,2019-02-19 15:35:22.728254
2019-02-19 15:35:23.205606,2019-02-19 15:35:23.460302
2019-02-19 15:35:23.938169,2019-02-19 15:35:24.188548
2019-02-19 15:35:24.660915,2019-02-19 15:35:24.910992
2019-02-19 15:35:25.391689,2019-02-19 15:35:25.633694
2019-02-19 15:35:26.109092,2019-02-19 15:35:26.358257
2019-02-19 15:35:26.835244,2019-02-19 15:35:27.079885
2019-02-19 15:35:27.552011,2019-02-19 15:35:27.796718
2019-02-19 15:35:28.272508,2019-02-19 15:35:28.515880
2019-02-19 15:35:28.995014,2019-02-19 15:35:29.240645
2019-02-19 15:35:29.714682,2019-02-19 15:35:29.963093
2019-02-19 15:35:30.445522,2019-02-19 15:35:30.686372
2019-02-19 15:35:31.168640,2019-02-19 15:35:31.418741
2019-02-19 15:35:31.902228,2019-02-19 15:35:32.147223
2019-02-19 15:35:32.631238,2019-02-19 15:35:32.877557
2019-02-19 15:35:33.352928,2019-02-19 15:35:33.594507
2019-02-19 15:35:34.069450,2019-02-19 15:35:34.320187
2019-02-19 15:35:34.795604,2019-02-19 15:35:35.040442
2019-02-19 15:35:35.518333,2019-02-19 15:35:35.759973
2019-02-19 15:35:36.239714,2019-02-19 15:35:36.480575
2019-02-19 15:35:36.954146,2019-02-19 15:35:37.199918
2019-02-19 15:35:37.677952,2019-02-19 15:35:37.924775
2019-02-19 15:35:38.400359,2019-02-19 15:35:38.643314
2019-02-19 15:36:17.446123,2019-02-19 15:36:17.696134
2019-02-19 15:36:18.168951,2019-02-19 15:36:18.412194
2019-02-19 15:36:18.888552,2019-02-19 15:36:19.133999
2019-02-19 15:36:19.613406,2019-02-19 15:36:19.862374
2019-02-19 15:36:20.333160,2019-02-19 15:36:20.575845
2019-02-19 15:36:21.050540,2019-02-19 15:36:21.291677
2019-02-19 15:36:21.762943,2019-02-19 15:36:22.006844
2019-02-19 15:36:22.478802,2019-02-19 15:36:22.723011
2019-02-19 15:36:23.199847,2019-02-19 15:36:23.449389
2019-02-19 15:36:23.934449,2019-02-19 15:36:24.177205
2019-02-19 15:36:24.657057,2019-02-19 15:36:24.898981
2019-02-19 15:36:25.376533,2019-02-19 15:36:25.621984
2019-02-19 15:36:26.096473,2019-02-19 15:36:26.341847
2019-02-19 15:36:26.817909,2019-02-19 15:36:27.061547
2019-02-19 15:36:27.535265,2019-02-19 15:36:27.782433
2019-02-19 15:36:28.253384,2019-02-19 15:36:28.495816
2019-02-19 15:36:28.975259,2019-02-19 15:36:29.219990
2019-02-19 15:36:29.703789,2019-02-19 15:36:29.950800
2019-02-19 15:36:30.423024,2019-02-19 15:36:30.669720
2019-02-19 15:36:31.150940,2019-02-19 15:36:31.392003
2019-02-19 15:36:31.872144,2019-02-19 15:36:32.116455
2019-02-19 15:36:32.596991,2019-02-19 15:36:32.848557
2019-02-19 15:36:33.331820,2019-02-19 15:36:33.579314
2019-02-19 15:36:34.056209,2019-02-19 15:36:34.302428
2019-02-19 15:36:34.782652,2019-02-19 15:36:35.022847
2019-02-19 15:36:35.500931,2019-02-19 15:36:35.743909
2019-02-19 15:36:36.223493,2019-02-19 15:36:36.467487
2019-02-19 15:36:36.939431,2019-02-19 15:36:37.182436
2019-02-19 15:36:37.657135,2019-02-19 15:36:37.902763
2019-02-19 15:36:38.375520,2019-02-19 15:36:38.623373
2019-02-19 15:37:17.470509,2019-02-19 15:37:17.718702
2019-02-19 15:37:18.199756,2019-02-19 15:37:18.447387
2019-02-19 15:37:18.922196,2019-02-19 15:37:19.171299
2019-02-19 15:37:19.650846,2019-02-19 15:37:19.899960
2019-02-19 15:37:20.377787,2019-02-19 15:37:20.621307
2019-02-19 15:37:21.095374,2019-02-19 15:37:21.342485
2019-02-19 15:37:21.822618,2019-02-19 15:37:22.066944
2019-02-19 15:37:22.542597,2019-02-19 15:37:22.790418
2019-02-19 15:37:23.264875,2019-02-19 15:37:23.507684
2019-02-19 15:37:23.984015,2019-02-19 15:37:24.228885
2019-02-19 15:37:24.703634,2019-02-19 15:37:24.947439
2019-02-19 15:37:25.423194,2019-02-19 15:37:25.666264
2019-02-19 15:37:26.139504,2019-02-19 15:37:26.383495
2019-02-19 15:37:26.858123,2019-02-19 15:37:27.103302
2019-02-19 15:37:27.586589,2019-02-19 15:37:27.829091
2019-02-19 15:37:28.304024,2019-02-19 15:37:28.556319
2019-02-19 15:37:29.035462,2019-02-19 15:37:29.279513
2019-02-19 15:37:29.753361,2019-02-19 15:37:30.003199
2019-02-19 15:37:30.478372,2019-02-19 15:37:30.723930
2019-02-19 15:37:31.200016,2019-02-19 15:37:31.445452
2019-02-19 15:37:31.918197,2019-02-19 15:37:32.165956
2019-02-19 15:37:32.646068,2019-02-19 15:37:32.892121
2019-02-19 15:37:33.371929,2019-02-19 15:37:33.623004
2019-02-19 15:37:34.104435,2019-02-19 15:37:34.349647
2019-02-19 15:37:34.828337,2019-02-19 15:37:35.077053
2019-02-19 15:37:35.567532,2019-02-19 15:37:35.812900
2019-02-19 15:37:36.284475,2019-02-19 15:37:36.532637
2019-02-19 15:37:37.008362,2019-02-19 15:37:37.248578
2019-02-19 15:37:37.724677,2019-02-19 15:37:37.971870
2019-02-19 15:37:38.450612,2019-02-19 15:37:38.692322
2019-02-19 15:38:17.515683,2019-02-19 15:38:17.761836
2019-02-19 15:38:18.232975,2019-02-19 15:38:18.482656
2019-02-19 15:38:18.963691,2019-02-19 15:38:19.209830
2019-02-19 15:38:19.687063,2019-02-19 15:38:19.932886
2019-02-19 15:38:20.408849,2019-02-19 15:38:20.655758
2019-02-19 15:38:21.131835,2019-02-19 15:38:21.372926
2019-02-19 15:38:21.851154,2019-02-19 15:38:22.098076
2019-02-19 15:38:22.569572,2019-02-19 15:38:22.812497
2019-02-19 15:38:23.286974,2019-02-19 15:38:23.532651
2019-02-19 15:38:24.005561,2019-02-19 15:38:24.248288
2019-02-19 15:38:24.718853,2019-02-19 15:38:24.964284
2019-02-19 15:38:25.435133,2019-02-19 15:38:25.680916
2019-02-19 15:38:26.157839,2019-02-19 15:38:26.403040
2019-02-19 15:38:26.886243,2019-02-19 15:38:27.135434
2019-02-19 15:38:27.610784,2019-02-19 15:38:27.855408
2019-02-19 15:38:28.335604,2019-02-19 15:38:28.581894
2019-02-19 15:38:29.060365,2019-02-19 15:38:29.307900
2019-02-19 15:38:29.785003,2019-02-19 15:38:30.029455
2019-02-19 15:38:30.509947,2019-02-19 15:38:30.753807
2019-02-19 15:38:31.229125,2019-02-19 15:38:31.477887
2019-02-19 15:38:31.957522,2019-02-19 15:38:32.206434
2019-02-19 15:38:32.684225,2019-02-19 15:38:32.929025
2019-02-19 15:38:33.406213,2019-02-19 15:38:33.650922
2019-02-19 15:38:34.128772,2019-02-19 15:38:34.374185
2019-02-19 15:38:34.850298,2019-02-19 15:38:35.097357
2019-02-19 15:38:35.574156,2019-02-19 15:38:35.822503
2019-02-19 15:38:36.299116,2019-02-19 15:38:36.541451
2019-02-19 15:38:37.022507,2019-02-19 15:38:37.269508
2019-02-19 15:38:37.745137,2019-02-19 15:38:37.987193
2019-02-19 15:38:38.464012,2019-02-19 15:38:38.708838
2019-02-19 15:39:17.555265,2019-02-19 15:39:17.795222
2019-02-19 15:39:18.267716,2019-02-19 15:39:18.512488
2019-02-19 15:39:18.986534,2019-02-19 15:39:19.228762
2019-02-19 15:39:19.701065,2019-02-19 15:39:19.949236
2019-02-19 15:39:20.430521,2019-02-19 15:39:20.677119
2019-02-19 15:39:21.154045,2019-02-19 15:39:21.399676
2019-02-19 15:39:21.883139,2019-02-19 15:39:22.130923
2019-02-19 15:39:22.607404,2019-02-19 15:39:22.853545
2019-02-19 15:39:23.336144,2019-02-19 15:39:23.585170
2019-02-19 15:39:24.061861,2019-02-19 15:39:24.309218
2019-02-19 15:39:24.783078,2019-02-19 15:39:25.027727
2019-02-19 15:39:25.507757,2019-02-19 15:39:25.752433
2019-02-19 15:39:26.236461,2019-02-19 15:39:26.486542
2019-02-19 15:39:26.967790,2019-02-19 15:39:27.214306
2019-02-19 15:39:27.692906,2019-02-19 15:39:27.934432
2019-02-19 15:39:28.416475,2019-02-19 15:39:28.665969
2019-02-19 15:39:29.150040,2019-02-19 15:39:29.398978
2019-02-19 15:39:29.882058,2019-02-19 15:39:30.132724
2019-02-19 15:39:30.611961,2019-02-19 15:39:30.865426
2019-02-19 15:39:31.348027,2019-02-19 15:39:31.592383
2019-02-19 15:39:32.068203,2019-02-19 15:39:32.317430
2019-02-19 15:39:32.792570,2019-02-19 15:39:33.036673
2019-02-19 15:39:33.515675,2019-02-19 15:39:33.758847
2019-02-19 15:39:34.230812,2019-02-19 15:39:34.474807
2019-02-19 15:39:34.956190,2019-02-19 15:39:35.203293
2019-02-19 15:39:35.686567,2019-02-19 15:39:35.937143
2019-02-19 15:39:36.416384,2019-02-19 15:39:36.663268
2019-02-19 15:39:37.139187,2019-02-19 15:39:37.384677
2019-02-19 15:39:37.868502,2019-02-19 15:39:38.114815
2019-02-19 15:39:38.598475,2019-02-19 15:39:38.847802
2019-02-19 15:40:17.568114,2019-02-19 15:40:17.815723
2019-02-19 15:40:18.285977,2019-02-19 15:40:18.534476
2019-02-19 15:40:19.016854,2019-02-19 15:40:19.261873
2019-02-19 15:40:19.740273,2019-02-19 15:40:19.981445
2019-02-19 15:40:20.457132,2019-02-19 15:40:20.697795
2019-02-19 15:40:21.172356,2019-02-19 15:40:21.420455
2019-02-19 15:40:21.901192,2019-02-19 15:40:22.146258
2019-02-19 15:40:22.630019,2019-02-19 15:40:22.877299
2019-02-19 15:40:23.357631,2019-02-19 15:40:23.601768
2019-02-19 15:40:24.079590,2019-02-19 15:40:24.328651
2019-02-19 15:40:24.806365,2019-02-19 15:40:25.058539
2019-02-19 15:40:25.532065,2019-02-19 15:40:25.778152
2019-02-19 15:40:26.255364,2019-02-19 15:40:26.503379
2019-02-19 15:40:26.978132,2019-02-19 15:40:27.224742
2019-02-19 15:40:27.701929,2019-02-19 15:40:27.946736
2019-02-19 15:40:28.420530,2019-02-19 15:40:28.667425
2019-02-19 15:40:29.147542,2019-02-19 15:40:29.395868
2019-02-19 15:40:29.877834,2019-02-19 15:40:30.125895
2019-02-19 15:40:30.605054,2019-02-19 15:40:30.854871
2019-02-19 15:40:31.338400,2019-02-19 15:40:31.579080
2019-02-19 15:40:32.056711,2019-02-19 15:40:32.306283
2019-02-19 15:40:32.784107,2019-02-19 15:40:33.032458
2019-02-19 15:40:33.516004,2019-02-19 15:40:33.760358
2019-02-19 15:40:34.243807,2019-02-19 15:40:34.491629
2019-02-19 15:40:34.968753,2019-02-19 15:40:35.208666
2019-02-19 15:40:35.682726,2019-02-19 15:40:35.928037
2019-02-19 15:40:36.406084,2019-02-19 15:40:36.649650
2019-02-19 15:40:37.130066,2019-02-19 15:40:37.378085
2019-02-19 15:40:37.852771,2019-02-19 15:40:38.098774
2019-02-19 15:40:38.576200,2019-02-19 15:40:38.825780
2019-02-19 15:41:17.590239,2019-02-19 15:41:17.835752
2019-02-19 15:41:18.312113,2019-02-19 15:41:18.560896
2019-02-19 15:41:19.039615,2019-02-19 15:41:19.287064
2019-02-19 15:41:19.761992,2019-02-19 15:41:20.013250
2019-02-19 15:41:20.492037,2019-02-19 15:41:20.742476
2019-02-19 15:41:21.221140,2019-02-19 15:41:21.464580
2019-02-19 15:41:21.939894,2019-02-19 15:41:22.185350
2019-02-19 15:41:22.658793,2019-02-19 15:41:22.909903
2019-02-19 15:41:23.391535,2019-02-19 15:41:23.637859
2019-02-19 15:41:24.121432,2019-02-19 15:41:24.369739
2019-02-19 15:41:24.845000,2019-02-19 15:41:25.094839
2019-02-19 15:41:25.579520,2019-02-19 15:41:25.824505
2019-02-19 15:41:26.303477,2019-02-19 15:41:26.545170
2019-02-19 15:41:27.023654,2019-02-19 15:41:27.267827
2019-02-19 15:41:27.744359,2019-02-19 15:41:27.991212
2019-02-19 15:41:28.467541,2019-02-19 15:41:28.708721
2019-02-19 15:41:29.195958,2019-02-19 15:41:29.444149
2019-02-19 15:41:29.922601,2019-02-19 15:41:30.169335
2019-02-19 15:41:30.647294,2019-02-19 15:41:30.892394
2019-02-19 15:41:31.371684,2019-02-19 15:41:31.638818
2019-02-19 15:41:32.116613,2019-02-19 15:41:32.359162
2019-02-19 15:41:32.842425,2019-02-19 15:41:33.090698
2019-02-19 15:41:33.569619,2019-02-19 15:41:33.813820
2019-02-19 15:41:34.289767,2019-02-19 15:41:34.536351
2019-02-19 15:41:35.018182,2019-02-19 15:41:35.266375
2019-02-19 15:41:35.738794,2019-02-19 15:41:35.987303
2019-02-19 15:41:36.461974,2019-02-19 15:41:36.708358
2019-02-19 15:41:37.195329,2019-02-19 15:41:37.436952
2019-02-19 15:41:37.917140,2019-02-19 15:41:38.163565
2019-02-19 15:41:38.638772,2019-02-19 15:41:38.882151
2019-02-19 15:42:17.596442,2019-02-19 15:42:17.841286
2019-02-19 15:42:18.327389,2019-02-19 15:42:18.572516
2019-02-19 15:42:19.054096,2019-02-19 15:42:19.303193
2019-02-19 15:42:19.780424,2019-02-19 15:42:20.030938
2019-02-19 15:42:20.517005,2019-02-19 15:42:20.766061
2019-02-19 15:42:21.242716,2019-02-19 15:42:21.492290
2019-02-19 15:42:21.969426,2019-02-19 15:42:22.218127
2019-02-19 15:42:22.695987,2019-02-19 15:42:22.939923
2019-02-19 15:42:23.420608,2019-02-19 15:42:23.664438
2019-02-19 15:42:24.139675,2019-02-19 15:42:24.385154
2019-02-19 15:42:24.864373,2019-02-19 15:42:25.113646
2019-02-19 15:42:25.591957,2019-02-19 15:42:25.838645
2019-02-19 15:42:26.320168,2019-02-19 15:42:26.563845
2019-02-19 15:42:27.047869,2019-02-19 15:42:27.299654
2019-02-19 15:42:27.776667,2019-02-19 15:42:28.021829
2019-02-19 15:42:28.496713,2019-02-19 15:42:28.743966
2019-02-19 15:42:29.218172,2019-02-19 15:42:29.472163
2019-02-19 15:42:29.947995,2019-02-19 15:42:30.192039
2019-02-19 15:42:30.667104,2019-02-19 15:42:30.911005
2019-02-19 15:42:31.386162,2019-02-19 15:42:31.633392
2019-02-19 15:42:32.117693,2019-02-19 15:42:32.367914
2019-02-19 15:42:32.844276,2019-02-19 15:42:33.090462
2019-02-19 15:42:33.571725,2019-02-19 15:42:33.819829
2019-02-19 15:42:34.298697,2019-02-19 15:42:34.548828
2019-02-19 15:42:35.028526,2019-02-19 15:42:35.279533
2019-02-19 15:42:35.761603,2019-02-19 15:42:36.007260
2019-02-19 15:42:36.480039,2019-02-19 15:42:36.720993
2019-02-19 15:42:37.203490,2019-02-19 15:42:37.452574
2019-02-19 15:42:37.929948,2019-02-19 15:42:38.180002
2019-02-19 15:42:38.657195,2019-02-19 15:42:38.903102
2019-02-19 15:43:17.621811,2019-02-19 15:43:17.870760
2019-02-19 15:43:18.352607,2019-02-19 15:43:18.598551
2019-02-19 15:43:19.073428,2019-02-19 15:43:19.326711
2019-02-19 15:43:19.803318,2019-02-19 15:43:20.054877
2019-02-19 15:43:20.535423,2019-02-19 15:43:20.785128
2019-02-19 15:43:21.265072,2019-02-19 15:43:21.517949
2019-02-19 15:43:21.993919,2019-02-19 15:43:22.239152
2019-02-19 15:43:22.720879,2019-02-19 15:43:22.972268
2019-02-19 15:43:23.443939,2019-02-19 15:43:23.700258
2019-02-19 15:43:24.178563,2019-02-19 15:43:24.422484
2019-02-19 15:43:24.900299,2019-02-19 15:43:25.145951
2019-02-19 15:43:25.625518,2019-02-19 15:43:25.872552
2019-02-19 15:43:26.349876,2019-02-19 15:43:26.603816
2019-02-19 15:43:27.081766,2019-02-19 15:43:27.329540
2019-02-19 15:43:27.809419,2019-02-19 15:43:28.058687
2019-02-19 15:43:28.537494,2019-02-19 15:43:28.788010
2019-02-19 15:43:29.268544,2019-02-19 15:43:29.515745
2019-02-19 15:43:29.990804,2019-02-19 15:43:30.239686
2019-02-19 15:43:30.717577,2019-02-19 15:43:30.961391
2019-02-19 15:43:31.435038,2019-02-19 15:43:31.681359
2019-02-19 15:43:32.157285,2019-02-19 15:43:32.398074
2019-02-19 15:43:32.876041,2019-02-19 15:43:33.130032
2019-02-19 15:43:33.610020,2019-02-19 15:43:33.862959
2019-02-19 15:43:34.340754,2019-02-19 15:43:34.590779
2019-02-19 15:43:35.075751,2019-02-19 15:43:35.324558
2019-02-19 15:43:35.806123,2019-02-19 15:43:36.048270
2019-02-19 15:43:36.530307,2019-02-19 15:43:36.780638
2019-02-19 15:43:37.263802,2019-02-19 15:43:37.515181
2019-02-19 15:43:37.991719,2019-02-19 15:43:38.241692
2019-02-19 15:43:38.716038,2019-02-19 15:43:38.975181
